id,text
1,Everybody Everybody - Black Box
2,Close To You - Maxi Priest
3,Do Me! - Bell Biv DeVoe
4,Everything - Jody Watley
5,What It Takes - Aerosmith
6,Alright - Janet Jackson
7,Love Song - Tesla
8,Poison - Bell Biv DeVoe
9,Enjoy The Silence - Depeche Mode
10,Free Fallin’ - Tom Petty
11,Another Day In Paradise - Phil Collins
12,Forever - Kiss
13,It Must Have Been Love - Roxette
14,Unchained Melody - the Righteous Brothers
15,Dangerous - Roxette
16,We Didn’t Start The Fire - Billy Joel
17,Just A Friend - Biz Markie
18,Swing The Mood - Jive Bunny and the Mastermixers
19,The Power - Snap!
20,Come Back To Me - Janet Jackson
21,Nothing Compares 2 U - Sinéad O’Connor
22,Without You - Mötley Crüe
23,Can’t Stop - After 7
24,Black Velvet - Alannah Myles
25,U Can’t Touch This - MC Hammer
26,Hold On - Wilson Phillips
27,Hold On - En Vogue
28,Step - STEP
29,Ice Ice Baby - Vanilla Ice
30,How Am I Supposed To Live Without You - Michael Bolton
31,Pump Up The Jam - Technotronic featuring Felly
32,Pray - M.C. Hammer
33,Ready Or Not - After 7
34,I Remember You - Skid Row
35,Jerk Out - The Time
36,Vogue - Madonna
37,All I Wanna Do Is Make Love To You - Heart
38,Do You Remember - Phil Collins
39,Epic - Faith No More
40,Black Cat - Janet Jackson
41,I Wish It Would Rain Down - Phil Collins
42,All Around The World - Lisa Stansfield
43,King Of Wishful Thinking - Go West
44,No More Lies - Michel’le
45,Blaze Of Glory - Jon Bon Jovi
46,The Humpty Dance - Digital Underground
47,Don’t Wanna Fall In Love - Jane Child
48,Just Like Jesse James - Cher
49,Romeo - Dino
50,Something Happened On The Way To Heaven - Phil Collins
51,Unskinny Bop - Poison
52,I Don’t Have The Heart - James Ingram
53,Love Will Lead You Back - Taylor Dayne
54,Release Me - Wilson Phillips
55,Roam - The B-52s
56,Get Up! (BEFORE The Night Is Over) - Technotronic featuring Ya Kid K
57,Vision Of Love - Mariah Carey
58,Whole Wide World - A’me Lorain
59,Feels Good - Tony! Toni! Tone!
60,Sending All My Love - Linear
61,Here And Now - Luther Vandross
62,How Can We Be Lovers - Michael Bolton
63,Escapade - Janet Jackson
64,Oh Girl - Paul Young
65,Opposites Attract - Paula Abdul and The Wild Pair
66,Praying For Time - George Michael
67,Back To Life (HOWEVER Do You Want Me) - Soul II Soul featuring Caron Wheeler
68,Cradle Of Love - Billy Idol
69,Downtown Train - Rod Stewart
70,More Than Words Can Say - Alias
71,What Kind Of Man Would I Be? - Chicago
72,Rhythm Nation - Janet Jackson
73,All Or Nothing - Milli Vanilli
74,Don’t Know Much - Linda Ronstadt and Aaron Neville
75,Blame It On The Rain - Milli Vanilli
76,Have You Seen Her - MC Hammer
77,I Go To Extremes - Billy Joel
78,Rub You The Right Way - Johnny Gill
79,Here We Are - Gloria Estefan
80,Just Between You And Me - Lou Gramm
81,When I’m Back On My Feet Again - Michael Bolton
82,Janie’s Got A Gun - Aerosmith
83,Whip Appeal - Babyface
84,Thieves In The Temple - Prince
85,Two To Make It Right - Seduction
86,With Every Beat Of My Heart - Taylor Dayne
87,Giving You The Benefit - Pebbles
88,I Wanna Be Rich - Calloway
89,If Wishes Came True - Sweet Sensation
90,Price Of Love - Bad English
91,We Can’t Go Wrong - The Cover Girls
92,Make You Sweat (#14) - Keith Sweat
93,This One’s For The Children - New Kids on the Block
94,She Ain’t Worth It - Glenn Medeiros and Bobby Brown
95,Girls Nite Out - Tyler Collins
96,C’mon And Get My Love - D Mob featuring Cathy Dennis
97,(CAN’T Live Without Your) Love And Affection - Nelson
98,I’ll Be Your Everything - Tommy Page
99,I’ll Be Your Shelter - Taylor Dayne
100,Romantic - Karyn White
101,Baby Baby - Amy Grant
102,Losing My Religion - R.E.M.
103,The First Time - Surface
104,Joyride - Roxette
105,Rush Rush - Paula Abdul
106,Wicked Game - Chris Isaak
107,Crazy - Seal
108,Wind Of Change - Scorpions
109,Enter Sandman - Metallica
110,It Ain’t Over ‘TIL It’s Over - Lenny Kravitz
111,More Than Words - Extreme
112,Power Of Love/Love Power - Luther Vandross
113,Summertime - DJ Jazzy Jeff & The Fresh Prince
114,Play That Funky Music - Vanilla Ice
115,Someday - Mariah Carey
116,Disappear - INXS
117,Good Vibrations - Marky Mark and the Funky Bunch featuring Loleatta Holloway
118,Shiny Happy People - R.E.M.
119,High Enough - Damn Yankees
120,Gonna Make You Sweat (EVERYBODY Dance Now) - C+C Music Factory
121,Something To Talk About - Bonnie Raitt
122,Round And Round - Tevin Campbell
123,Cream - Prince and The New Power Generation
124,Emotions - Mariah Carey
125,Piece Of My Heart - Tara Kemp
126,Temptation - Corina
127,Freedom 90 - George Michael
128,Show Me The Way - Styx
129,O.P.P. - Naughty by Nature
130,Unbelievable - EMF
131,(EVERYTHING I Do) I Do It For You - Bryan Adams
132,I Saw Red - Warrant
133,Signs - Tesla
134,I Touch Myself - Divinyls
135,I’ll Be There - The Escape Club
136,Get Here - Oleta Adams
137,Now That We Found Love - Heavy D & the Boyz
138,All This Time - Sting
139,I Wanna Sex You Up - Color Me Badd
140,Love Of A Lifetime - FireHouse
141,Motownphilly - Boyz II Men
142,Sadeness (PART I) - Enigma
143,The One And Only - Chesney Hawkes
144,This House - Tracie Spencer
145,Silent Lucidity - Queensrÿche
146,Impulsive - Wilson Phillips
147,One More Try - Timmy T
148,The Way You Do The Things You Do - UB40
149,Where Does My Heart Beat Now - Celine Dion
150,Don’t Cry - Guns N’ Roses
151,Here I Am (COME And Take Me) - UB40
152,Love Takes Time - Mariah Carey
153,Miles Away - Winger
154,P.A.S.S.I.O.N. - Rythm Syndicate
155,"Right Here, Right Now - Jesus Jones"
156,Coming Out Of The Dark - Gloria Estefan
157,Do Anything - Natural Selection
158,Strike It Up - Black Box
159,Tom’s Diner - DNA featuring Suzanne Vega
160,All The Man That I Need - Whitney Houston
161,I Don’t Wanna Cry - Mariah Carey
162,I’m Your Baby Tonight - Whitney Houston
163,Around The Way Girl - LL Cool J
164,From A Distance - Bette Midler
165,Something To Believe In - Poison
166,Hold You Tight - Tara Kemp
167,Hole Hearted - Extreme
168,Sensitivity - Ralph Tresvant
169,I Like The Way (THE Kissing Game) - Hi-Five
170,Just Another Dream - Cathy Dennis
171,After The Rain - Nelson
172,Place In This World - Michael W. Smith
173,Real Real Real - Jesus Jones
174,Everybody Plays The Fool - Aaron Neville
175,Fading Like A Flower (EVERY Time You Leave) - Roxette
176,Love Will Never Do (WITHOUT You) - Janet Jackson
177,Rhythm Of My Heart - Rod Stewart
178,The Motown Song - Rod Stewart
179,Justify My Love - Madonna
180,Things That Make You Go Hmmm… - C+C Music Factory
181,Can’t Stop This Thing We Started - Bryan Adams
182,I’ve Been Thinking About You - Londonbeat
183,I Adore Mi Amor - Color Me Badd
184,Love Is A Wonderful Thing - Michael Bolton
185,Too Many Walls - Cathy Dennis
186,"Time, Love And Tenderness - Michael Bolton"
187,Touch Me (ALL Night Long) - Cathy Dennis
188,Every Heartbeat - Amy Grant
189,Here We Go (LET’S Rock N’ Roll) - C+C Music Factory featuring Freedom Williams & Zelma Davis
190,I’m Not In Love - Will to Power
191,Iesha - Another Bad Creation
192,The Promise Of A New Day - Paula Abdul
193,Rico Suave - Gerardo
194,Cry For Help - Rick Astley
195,Because I Love You (THE Postman Song) - Stevie B
196,3 A.M. Eternal - The KLF
197,I’ll Give All My Love To You - Keith Sweat
198,You’re In Love - Wilson Phillips
199,I Can’t Wait Another Minute - Hi-Five
200,The One - Elton John
201,One - U2
202,Stay - Shakespears Sister
203,Under The Bridge - Red Hot Chili Peppers
204,Tennessee - Arrested Development
205,November Rain - Guns N’ Roses
206,Real Love - Mary J. Blige
207,Smells Like Teen Spirit - Nirvana
208,Everything About You - Ugly Kid Joe
209,Jump - Kris Kross
