id,text,cluster,category
1,Everybody Everybody - Black Box,8,Dance and Electronic Hits
2,Close To You - Maxi Priest,6,R&B and Soul Vibes
3,Do Me! - Bell Biv DeVoe,2,R&B and Soul Vibes
4,Everything - Jody Watley,7,R&B and Soul Vibes
5,What It Takes - Aerosmith,6,Pop and Rock Classics
6,Alright - Janet Jackson,5,R&B and Soul Vibes
7,Love Song - Tesla,7,Soft Rock and Ballads
8,Poison - Bell Biv DeVoe,2,R&B and Soul Vibes
9,Enjoy The Silence - Depeche Mode,3,Alternative and Indie Playlist
10,Free Fallin’ - Tom Petty,6,Soft Rock and Ballads
11,Another Day In Paradise - Phil Collins,7,Emotional and Heartfelt Songs
12,Forever - Kiss,9,Pop and Rock Classics
13,It Must Have Been Love - Roxette,7,Emotional and Heartfelt Songs
14,Unchained Melody - the Righteous Brothers,8,Emotional and Heartfelt Songs
15,Dangerous - Roxette,3,Alternative and Indie Playlist
16,We Didn’t Start The Fire - Billy Joel,7,Pop and Rock Classics
17,Just A Friend - Biz Markie,3,Hip-Hop and Rap Anthems
18,Swing The Mood - Jive Bunny and the Mastermixers,2,Dance and Electronic Hits
19,The Power - Snap!,3,Dance and Electronic Hits
20,Come Back To Me - Janet Jackson,5,R&B and Soul Vibes
21,Nothing Compares 2 U - Sinéad O’Connor,4,Emotional and Heartfelt Songs
22,Without You - Mötley Crüe,8,Nostalgic 90s Tunes
23,Can’t Stop - After 7,4,R&B and Soul Vibes
24,Black Velvet - Alannah Myles,8,Nostalgic 90s Tunes
25,U Can’t Touch This - MC Hammer,2,Hip-Hop and Rap Anthems
26,Hold On - Wilson Phillips,4,Emotional and Heartfelt Songs
27,Hold On - En Vogue,4,R&B and Soul Vibes
28,Step - STEP,3,Dance and Electronic Hits
29,Ice Ice Baby - Vanilla Ice,8,Nostalgic 90s Tunes
30,How Am I Supposed To Live Without You - Michael Bolton,7,Soft Rock and Ballads
31,Pump Up The Jam - Technotronic featuring Felly,0,Dance and Electronic Hits
32,Pray - M.C. Hammer,3,Hip-Hop and Rap Anthems
33,Ready Or Not - After 7,4,R&B and Soul Vibes
34,I Remember You - Skid Row,2,Pop and Rock Classics
35,Jerk Out - The Time,4,R&B and Soul Vibes
36,Vogue - Madonna,5,Dance and Electronic Hits
37,All I Wanna Do Is Make Love To You - Heart,5,Soft Rock and Ballads
38,Do You Remember - Phil Collins,7,Emotional and Heartfelt Songs
39,Epic - Faith No More,7,Alternative and Indie Playlist
40,Black Cat - Janet Jackson,5,Pop and Rock Classics
41,I Wish It Would Rain Down - Phil Collins,6,Pop and Rock Classics
42,All Around The World - Lisa Stansfield,1,R&B and Soul Vibes
43,King Of Wishful Thinking - Go West,7,Nostalgic 90s Tunes
44,No More Lies - Michel’le,7,R&B and Soul Vibes
45,Blaze Of Glory - Jon Bon Jovi,8,Pop and Rock Classics
46,The Humpty Dance - Digital Underground,8,Hip-Hop and Rap Anthems
47,Don’t Wanna Fall In Love - Jane Child,5,Dance and Electronic Hits
48,Just Like Jesse James - Cher,0,Pop and Rock Classics
49,Romeo - Dino,2,Dance and Electronic Hits
50,Something Happened On The Way To Heaven - Phil Collins,7,Pop and Rock Classics
51,Unskinny Bop - Poison,8,Pop and Rock Classics
52,I Don’t Have The Heart - James Ingram,7,Emotional and Heartfelt Songs
53,Love Will Lead You Back - Taylor Dayne,5,Emotional and Heartfelt Songs
54,Release Me - Wilson Phillips,2,Pop and Rock Classics
55,Roam - The B-52s,2,Alternative and Indie Playlist
56,Get Up! (BEFORE The Night Is Over) - Technotronic featuring Ya Kid K,8,Dance and Electronic Hits
57,Vision Of Love - Mariah Carey,5,Emotional and Heartfelt Songs
